Cured,Date,Deaths,Foreigner,Indian,State/UnionTerritory
0,2020-03-17,0,14,1,Haryana
0,2020-03-17,1,0,11,Karnataka
3,2020-03-17,0,2,24,Kerala
0,2020-03-17,1,3,36,Maharashtra
0,2020-03-17,0,0,1,Odisha
0,2020-03-17,0,0,1,Punjab
3,2020-03-17,0,2,2,Rajasthan
0,2020-03-17,0,0,1,Tamil Nadu
1,2020-03-17,0,2,3,Telengana
0,2020-03-17,0,0,3,Union Territory of Jammu and Kashmir
0,2020-03-17,0,0,6,Union Territory of Ladakh
5,2020-03-17,0,1,14,Uttar Pradesh
0,2020-03-17,0,0,1,Uttarakhand
0,2020-03-18,0,0,1,Andhra Pradesh
2,2020-03-18,1,1,9,Delhi
0,2020-03-18,0,14,3,Haryana
0,2020-03-18,1,0,11,Karnataka
3,2020-03-18,0,2,25,Kerala
0,2020-03-18,1,3,39,Maharashtra
0,2020-03-18,0,0,1,Odisha
0,2020-03-18,0,0,1,Pondicherry
0,2020-03-18,0,0,1,Punjab
3,2020-03-18,0,2,2,Rajasthan
0,2020-03-18,0,0,1,Tamil Nadu
1,2020-03-18,0,2,4,Telengana
0,2020-03-18,0,0,3,Union Territory of Jammu and Kashmir
0,2020-03-18,0,0,8,Union Territory of Ladakh
5,2020-03-18,0,1,15,Uttar Pradesh
0,2020-03-18,0,0,1,Uttarakhand
0,2020-03-18,0,0,1,West Bengal
0,2020-03-19,0,0,2,Andhra Pradesh
0,2020-03-19,0,0,1,Chattisgarh
3,2020-03-19,1,1,11,Delhi
0,2020-03-19,0,14,3,Haryana
0,2020-03-19,1,0,14,Karnataka
3,2020-03-19,0,2,25,Kerala
0,2020-03-19,1,3,44,Maharashtra
0,2020-03-19,0,0,1,Odisha
0,2020-03-19,0,0,1,Pondicherry
0,2020-03-19,1,0,2,Punjab
3,2020-03-19,0,2,5,Rajasthan
1,2020-03-19,0,0,2,Tamil Nadu
1,2020-03-19,0,2,4,Telengana
0,2020-03-19,0,0,1,Union Territory of Chandigarh
0,2020-03-19,0,0,4,Union Territory of Jammu and Kashmir
0,2020-03-19,0,0,8,Union Territory of Ladakh
9,2020-03-19,0,1,18,Uttar Pradesh
0,2020-03-19,0,0,1,Uttarakhand
0,2020-03-19,0,0,1,West Bengal
0,2020-03-20,0,0,3,Andhra Pradesh
0,2020-03-20,0,0,1,Chhattisgarh
5,2020-03-20,1,1,16,Delhi
0,2020-03-20,0,0,5,Gujarat
0,2020-03-20,0,14,3,Haryana
1,2020-03-20,1,0,15,Karnataka
3,2020-03-20,0,2,26,Kerala
0,2020-03-20,1,3,49,Maharashtra
0,2020-03-20,0,0,2,Odisha
0,2020-03-20,0,0,1,Puducherry
0,2020-03-20,1,0,2,Punjab
3,2020-03-20,0,2,15,Rajasthan
1,2020-03-20,0,0,3,Tamil Nadu
1,2020-03-20,0,9,8,Telengana
0,2020-03-20,0,0,1,Union Territory of Chandigarh
0,2020-03-20,0,0,4,Union Territory of Jammu and Kashmir
0,2020-03-20,0,0,10,Union Territory of Ladakh
9,2020-03-20,0,1,22,Uttar Pradesh
0,2020-03-20,0,0,3,Uttarakhand
0,2020-03-20,0,0,2,West Bengal
0,2020-03-21,0,0,3,Andhra Pradesh
0,2020-03-21,0,0,1,Chhattisgarh
5,2020-03-21,1,1,25,Delhi
0,2020-03-21,0,0,7,Gujarat
0,2020-03-21,0,14,3,Haryana
0,2020-03-21,0,0,2,Himachal Pradesh
1,2020-03-21,1,0,15,Karnataka
3,2020-03-21,0,7,33,Kerala
0,2020-03-21,0,0,4,Madhya Pradesh
0,2020-03-21,1,3,60,Maharashtra
0,2020-03-21,0,0,2,Odisha
0,2020-03-21,0,0,1,Puducherry
0,2020-03-21,1,0,13,Punjab
3,2020-03-21,0,2,15,Rajasthan
1,2020-03-21,0,0,3,Tamil Nadu
1,2020-03-21,0,11,10,Telengana
0,2020-03-21,0,0,1,Chandigarh
0,2020-03-21,0,0,4,Jammu and Kashmir
0,2020-03-21,0,0,13,Ladakh
9,2020-03-21,0,1,23,Uttar Pradesh
0,2020-03-21,0,0,3,Uttarakhand
0,2020-03-21,0,0,3,West Bengal
0,2020-03-22,0,0,5,Andhra Pradesh
0,2020-03-22,1,0,2,Bihar
0,2020-03-22,0,0,1,Chhattisgarh
5,2020-03-22,1,1,28,Delhi
0,2020-03-22,1,0,18,Gujarat
0,2020-03-22,0,14,7,Haryana
0,2020-03-22,0,0,2,Himachal Pradesh
2,2020-03-22,1,0,26,Karnataka
3,2020-03-22,0,7,45,Kerala
0,2020-03-22,0,0,4,Madhya Pradesh
0,2020-03-22,2,3,64,Maharashtra
0,2020-03-22,0,0,2,Odisha
0,2020-03-22,0,0,1,Puducherry
0,2020-03-22,1,0,21,Punjab
3,2020-03-22,0,2,22,Rajasthan
1,2020-03-22,0,2,5,Tamil Nadu
1,2020-03-22,0,11,11,Telengana
0,2020-03-22,0,0,5,Chandigarh
0,2020-03-22,0,0,4,Jammu and Kashmir
0,2020-03-22,0,0,13,Ladakh
9,2020-03-22,0,1,26,Uttar Pradesh
0,2020-03-22,0,0,3,Uttarakhand
0,2020-03-22,0,0,4,West Bengal
0,2020-03-23,0,0,7,Andhra Pradesh
0,2020-03-23,1,0,2,Bihar
0,2020-03-23,0,0,1,Chhattisgarh
5,2020-03-23,1,1,28,Delhi
0,2020-03-23,1,0,29,Gujarat
0,2020-03-23,0,14,12,Haryana
0,2020-03-23,0,0,2,Himachal Pradesh
2,2020-03-23,1,0,33,Karnataka
3,2020-03-23,0,7,60,Kerala
0,2020-03-23,0,0,6,Madhya Pradesh
0,2020-03-23,2,3,71,Maharashtra
0,2020-03-23,0,0,2,Odisha
0,2020-03-23,0,0,1,Puducherry
0,2020-03-23,1,0,21,Punjab
3,2020-03-23,0,2,26,Rajasthan
1,2020-03-23,0,2,7,Tamil Nadu
1,2020-03-23,0,10,22,Telengana
0,2020-03-23,0,0,6,Chandigarh
0,2020-03-23,0,0,4,Jammu and Kashmir
0,2020-03-23,0,0,13,Ladakh
9,2020-03-23,0,1,30,Uttar Pradesh
0,2020-03-23,0,0,3,Uttarakhand
0,2020-03-23,0,0,7,West Bengal
0,2020-03-24,0,0,8,Andhra Pradesh
0,2020-03-24,1,0,3,Bihar
0,2020-03-24,0,0,1,Chhattisgarh
6,2020-03-24,2,1,29,Delhi
0,2020-03-24,1,1,32,Gujarat
11,2020-03-24,0,14,14,Haryana
0,2020-03-24,1,0,3,Himachal Pradesh
3,2020-03-24,1,0,37,Karnataka
4,2020-03-24,0,8,87,Kerala
0,2020-03-24,0,0,7,Madhya Pradesh
0,2020-03-24,2,3,86,Maharashtra
0,2020-03-24,0,0,1,Manipur
0,2020-03-24,0,0,2,Odisha
0,2020-03-24,0,0,1,Puducherry
0,2020-03-24,1,0,29,Punjab
3,2020-03-24,0,2,30,Rajasthan
1,2020-03-24,0,2,13,Tamil Nadu
1,2020-03-24,0,10,25,Telengana
0,2020-03-24,0,0,7,Chandigarh
0,2020-03-24,0,0,4,Jammu and Kashmir
0,2020-03-24,0,0,13,Ladakh
11,2020-03-24,0,1,32,Uttar Pradesh
0,2020-03-24,0,1,3,Uttarakhand
0,2020-03-24,1,0,9,West Bengal
1,2020-03-25,0,0,9,Andhra Pradesh
0,2020-03-25,1,0,4,Bihar
0,2020-03-25,0,0,1,Chhattisgarh
6,2020-03-25,1,1,30,Delhi
0,2020-03-25,1,1,37,Gujarat
11,2020-03-25,0,14,14,Haryana
0,2020-03-25,1,0,3,Himachal Pradesh
3,2020-03-25,1,0,41,Karnataka
4,2020-03-25,0,8,101,Kerala
0,2020-03-25,0,0,14,Madhya Pradesh
1,2020-03-25,3,3,125,Maharashtra
0,2020-03-25,0,0,1,Manipur
0,2020-03-25,0,0,1,Mizoram
0,2020-03-25,0,0,2,Odisha
0,2020-03-25,0,0,1,Puducherry
0,2020-03-25,1,0,29,Punjab
3,2020-03-25,0,2,34,Rajasthan
1,2020-03-25,0,2,16,Tamil Nadu
1,2020-03-25,0,10,25,Telengana
0,2020-03-25,0,0,7,Chandigarh
1,2020-03-25,0,0,7,Jammu and Kashmir
0,2020-03-25,0,0,13,Ladakh
11,2020-03-25,0,1,36,Uttar Pradesh
0,2020-03-25,0,1,3,Uttarakhand
0,2020-03-25,1,0,9,West Bengal
0,2020-03-26,0,0,1,Andaman and Nicobar Islands
1,2020-03-26,0,0,11,Andhra Pradesh
0,2020-03-26,1,0,6,Bihar
0,2020-03-26,0,0,7,Chandigarh
0,2020-03-26,0,0,6,Chhattisgarh
6,2020-03-26,1,1,35,Delhi
0,2020-03-26,0,0,3,Goa
0,2020-03-26,3,1,42,Gujarat
11,2020-03-26,0,14,16,Haryana
0,2020-03-26,1,0,3,Himachal Pradesh
1,2020-03-26,0,0,13,Jammu and Kashmir
3,2020-03-26,2,0,55,Karnataka
6,2020-03-26,0,8,110,Kerala
0,2020-03-26,0,0,13,Ladakh
0,2020-03-26,1,0,20,Madhya Pradesh
1,2020-03-26,3,3,121,Maharashtra
0,2020-03-26,0,0,1,Manipur
0,2020-03-26,0,0,1,Mizoram
0,2020-03-26,0,0,2,Odisha
0,2020-03-26,0,0,1,Puducherry
0,2020-03-26,1,0,33,Punjab
3,2020-03-26,0,2,39,Rajasthan
1,2020-03-26,1,6,20,Tamil Nadu
1,2020-03-26,0,10,34,Telengana
0,2020-03-26,0,1,4,Uttarakhand
11,2020-03-26,0,1,40,Uttar Pradesh
0,2020-03-26,1,0,10,West Bengal
0,2020-03-27,0,0,1,Andaman and Nicobar Islands
1,2020-03-27,0,0,12,Andhra Pradesh
0,2020-03-27,1,0,6,Bihar
0,2020-03-27,0,0,7,Chandigarh
0,2020-03-27,0,0,6,Chhattisgarh
6,2020-03-27,1,1,35,Delhi
0,2020-03-27,0,0,3,Goa
0,2020-03-27,3,1,42,Gujarat
11,2020-03-27,0,14,16,Haryana
0,2020-03-27,1,0,3,Himachal Pradesh
1,2020-03-27,1,0,13,Jammu and Kashmir
3,2020-03-27,2,0,55,Karnataka
11,2020-03-27,0,8,129,Kerala
3,2020-03-27,0,0,13,Ladakh
0,2020-03-27,1,0,20,Madhya Pradesh
15,2020-03-27,4,3,127,Maharashtra
0,2020-03-27,0,0,1,Manipur
0,2020-03-27,0,0,1,Mizoram
0,2020-03-27,0,0,2,Odisha
0,2020-03-27,0,0,1,Puducherry
0,2020-03-27,1,0,33,Punjab
3,2020-03-27,0,2,39,Rajasthan
1,2020-03-27,1,6,23,Tamil Nadu
1,2020-03-27,0,10,35,Telengana
0,2020-03-27,0,1,4,Uttarakhand
11,2020-03-27,0,1,40,Uttar Pradesh
0,2020-03-27,1,0,10,West Bengal
1,2020-03-28,0,0,14,Andhra Pradesh
0,2020-03-28,0,0,6,Andaman and Nicobar Islands
0,2020-03-28,1,0,9,Bihar
0,2020-03-28,0,0,8,Chandigarh
0,2020-03-28,0,0,6,Chhattisgarh
6,2020-03-28,1,1,38,Delhi
0,2020-03-28,0,0,3,Goa
0,2020-03-28,3,1,44,Gujarat
12,2020-03-28,0,14,19,Haryana
0,2020-03-28,1,0,3,Himachal Pradesh
1,2020-03-28,1,0,20,Jammu and Kashmir
3,2020-03-28,2,0,55,Karnataka
11,2020-03-28,0,8,168,Kerala
3,2020-03-28,0,0,13,Ladakh
0,2020-03-28,2,0,30,Madhya Pradesh
25,2020-03-28,5,3,177,Maharashtra
0,2020-03-28,0,0,1,Manipur
0,2020-03-28,0,0,1,Mizoram
0,2020-03-28,0,0,3,Odisha
0,2020-03-28,0,0,1,Puducherry
1,2020-03-28,1,0,38,Punjab
3,2020-03-28,0,2,52,Rajasthan
2,2020-03-28,1,6,34,Tamil Nadu
1,2020-03-28,0,10,46,Telengana
0,2020-03-28,0,1,4,Uttarakhand
11,2020-03-28,0,1,54,Uttar Pradesh
0,2020-03-28,1,0,15,West Bengal
1,2020-03-29,0,0,14,Andhra Pradesh
0,2020-03-29,0,0,9,Andaman and Nicobar Islands
0,2020-03-29,1,0,9,Bihar
0,2020-03-29,0,0,8,Chandigarh
0,2020-03-29,0,0,6,Chhattisgarh
6,2020-03-29,2,1,38,Delhi
0,2020-03-29,0,1,2,Goa
0,2020-03-29,4,1,52,Gujarat
12,2020-03-29,0,14,19,Haryana
0,2020-03-29,1,0,3,Himachal Pradesh
1,2020-03-29,1,0,31,Jammu and Kashmir
5,2020-03-29,3,0,76,Karnataka
15,2020-03-29,1,8,174,Kerala
3,2020-03-29,0,0,13,Ladakh
0,2020-03-29,2,0,30,Madhya Pradesh
25,2020-03-29,6,3,183,Maharashtra
0,2020-03-29,0,0,1,Manipur
0,2020-03-29,0,0,1,Mizoram
0,2020-03-29,0,0,3,Odisha
0,2020-03-29,0,0,1,Puducherry
1,2020-03-29,1,0,38,Punjab
3,2020-03-29,0,2,52,Rajasthan
2,2020-03-29,1,6,36,Tamil Nadu
1,2020-03-29,1,10,56,Telengana
1,2020-03-29,0,1,5,Uttarakhand
11,2020-03-29,0,1,54,Uttar Pradesh
0,2020-03-29,1,0,17,West Bengal
