Cured,Date,Deaths,State/UnionTerritory,Total_cases
0,2020-03-23,0,Ladakh,13
9,2020-03-23,0,Uttar Pradesh,31
0,2020-03-23,0,Uttarakhand,3
0,2020-03-23,0,West Bengal,7
0,2020-03-24,0,Andhra Pradesh,8
0,2020-03-24,1,Bihar,3
0,2020-03-24,0,Chhattisgarh,1
6,2020-03-24,2,Delhi,30
0,2020-03-24,1,Gujarat,33
11,2020-03-24,0,Haryana,28
0,2020-03-24,1,Himachal Pradesh,3
3,2020-03-24,1,Karnataka,37
4,2020-03-24,0,Kerala,95
0,2020-03-24,0,Madhya Pradesh,7
0,2020-03-24,2,Maharashtra,89
0,2020-03-24,0,Manipur,1
0,2020-03-24,0,Odisha,2
0,2020-03-24,0,Puducherry,1
0,2020-03-24,1,Punjab,29
3,2020-03-24,0,Rajasthan,32
1,2020-03-24,0,Tamil Nadu,15
1,2020-03-24,0,Telengana,35
0,2020-03-24,0,Chandigarh,7
0,2020-03-24,0,Jammu and Kashmir,4
0,2020-03-24,0,Ladakh,13
11,2020-03-24,0,Uttar Pradesh,33
0,2020-03-24,0,Uttarakhand,4
0,2020-03-24,1,West Bengal,9
1,2020-03-25,0,Andhra Pradesh,9
0,2020-03-25,1,Bihar,4
0,2020-03-25,0,Chhattisgarh,1
6,2020-03-25,1,Delhi,31
0,2020-03-25,1,Gujarat,38
11,2020-03-25,0,Haryana,28
0,2020-03-25,1,Himachal Pradesh,3
3,2020-03-25,1,Karnataka,41
4,2020-03-25,0,Kerala,109
0,2020-03-25,0,Madhya Pradesh,14
1,2020-03-25,3,Maharashtra,128
0,2020-03-25,0,Manipur,1
0,2020-03-25,0,Mizoram,1
0,2020-03-25,0,Odisha,2
0,2020-03-25,0,Puducherry,1
0,2020-03-25,1,Punjab,29
3,2020-03-25,0,Rajasthan,36
1,2020-03-25,0,Tamil Nadu,18
1,2020-03-25,0,Telengana,35
0,2020-03-25,0,Chandigarh,7
1,2020-03-25,0,Jammu and Kashmir,7
0,2020-03-25,0,Ladakh,13
11,2020-03-25,0,Uttar Pradesh,37
0,2020-03-25,0,Uttarakhand,4
0,2020-03-25,1,West Bengal,9
0,2020-03-26,0,Andaman and Nicobar Islands,1
1,2020-03-26,0,Andhra Pradesh,11
0,2020-03-26,1,Bihar,6
0,2020-03-26,0,Chandigarh,7
0,2020-03-26,0,Chhattisgarh,6
6,2020-03-26,1,Delhi,36
0,2020-03-26,0,Goa,3
0,2020-03-26,3,Gujarat,43
11,2020-03-26,0,Haryana,30
0,2020-03-26,1,Himachal Pradesh,3
1,2020-03-26,0,Jammu and Kashmir,13
3,2020-03-26,2,Karnataka,55
6,2020-03-26,0,Kerala,118
0,2020-03-26,0,Ladakh,13
0,2020-03-26,1,Madhya Pradesh,20
1,2020-03-26,3,Maharashtra,124
0,2020-03-26,0,Manipur,1
0,2020-03-26,0,Mizoram,1
0,2020-03-26,0,Odisha,2
0,2020-03-26,0,Puducherry,1
0,2020-03-26,1,Punjab,33
3,2020-03-26,0,Rajasthan,41
1,2020-03-26,1,Tamil Nadu,26
1,2020-03-26,0,Telengana,44
0,2020-03-26,0,Uttarakhand,5
11,2020-03-26,0,Uttar Pradesh,41
0,2020-03-26,1,West Bengal,10
0,2020-03-27,0,Andaman and Nicobar Islands,1
1,2020-03-27,0,Andhra Pradesh,12
0,2020-03-27,1,Bihar,6
0,2020-03-27,0,Chandigarh,7
0,2020-03-27,0,Chhattisgarh,6
6,2020-03-27,1,Delhi,36
0,2020-03-27,0,Goa,3
0,2020-03-27,3,Gujarat,43
11,2020-03-27,0,Haryana,30
0,2020-03-27,1,Himachal Pradesh,3
1,2020-03-27,1,Jammu and Kashmir,13
3,2020-03-27,2,Karnataka,55
11,2020-03-27,0,Kerala,137
3,2020-03-27,0,Ladakh,13
0,2020-03-27,1,Madhya Pradesh,20
15,2020-03-27,4,Maharashtra,130
0,2020-03-27,0,Manipur,1
0,2020-03-27,0,Mizoram,1
0,2020-03-27,0,Odisha,2
0,2020-03-27,0,Puducherry,1
0,2020-03-27,1,Punjab,33
3,2020-03-27,0,Rajasthan,41
1,2020-03-27,1,Tamil Nadu,29
1,2020-03-27,0,Telengana,45
0,2020-03-27,0,Uttarakhand,5
11,2020-03-27,0,Uttar Pradesh,41
0,2020-03-27,1,West Bengal,10
1,2020-03-28,0,Andhra Pradesh,14
0,2020-03-28,0,Andaman and Nicobar Islands,6
0,2020-03-28,1,Bihar,9
0,2020-03-28,0,Chandigarh,8
0,2020-03-28,0,Chhattisgarh,6
6,2020-03-28,1,Delhi,39
0,2020-03-28,0,Goa,3
0,2020-03-28,3,Gujarat,45
12,2020-03-28,0,Haryana,33
0,2020-03-28,1,Himachal Pradesh,3
1,2020-03-28,1,Jammu and Kashmir,20
3,2020-03-28,2,Karnataka,55
11,2020-03-28,0,Kerala,176
3,2020-03-28,0,Ladakh,13
0,2020-03-28,2,Madhya Pradesh,30
25,2020-03-28,5,Maharashtra,180
0,2020-03-28,0,Manipur,1
0,2020-03-28,0,Mizoram,1
0,2020-03-28,0,Odisha,3
0,2020-03-28,0,Puducherry,1
1,2020-03-28,1,Punjab,38
3,2020-03-28,0,Rajasthan,54
2,2020-03-28,1,Tamil Nadu,40
1,2020-03-28,0,Telengana,56
0,2020-03-28,0,Uttarakhand,5
11,2020-03-28,0,Uttar Pradesh,55
0,2020-03-28,1,West Bengal,15
1,2020-03-29,0,Andhra Pradesh,19
0,2020-03-29,0,Andaman and Nicobar Islands,9
0,2020-03-29,1,Bihar,11
0,2020-03-29,0,Chandigarh,8
0,2020-03-29,0,Chhattisgarh,7
6,2020-03-29,2,Delhi,49
0,2020-03-29,0,Goa,5
1,2020-03-29,5,Gujarat,58
17,2020-03-29,0,Haryana,33
0,2020-03-29,1,Himachal Pradesh,3
1,2020-03-29,2,Jammu and Kashmir,31
5,2020-03-29,3,Karnataka,76
15,2020-03-29,1,Kerala,182
3,2020-03-29,0,Ladakh,13
0,2020-03-29,2,Madhya Pradesh,30
25,2020-03-29,6,Maharashtra,186
0,2020-03-29,0,Manipur,1
0,2020-03-29,0,Mizoram,1
0,2020-03-29,0,Odisha,3
0,2020-03-29,0,Puducherry,1
1,2020-03-29,1,Punjab,38
3,2020-03-29,0,Rajasthan,55
4,2020-03-29,1,Tamil Nadu,49
1,2020-03-29,1,Telengana,66
2,2020-03-29,0,Uttarakhand,7
11,2020-03-29,0,Uttar Pradesh,65
0,2020-03-29,1,West Bengal,18
1,2020-03-30,0,Andhra Pradesh,19
0,2020-03-30,0,Andaman and Nicobar Islands,9
0,2020-03-30,1,Bihar,11
0,2020-03-30,0,Chandigarh,8
0,2020-03-30,0,Chhattisgarh,7
6,2020-03-30,2,Delhi,53
0,2020-03-30,0,Goa,5
1,2020-03-30,5,Gujarat,58
17,2020-03-30,0,Haryana,33
0,2020-03-30,1,Himachal Pradesh,3
1,2020-03-30,2,Jammu and Kashmir,31
5,2020-03-30,3,Karnataka,80
19,2020-03-30,1,Kerala,194
3,2020-03-30,0,Ladakh,13
0,2020-03-30,2,Madhya Pradesh,33
25,2020-03-30,8,Maharashtra,193
0,2020-03-30,0,Manipur,1
0,2020-03-30,0,Mizoram,1
0,2020-03-30,0,Odisha,3
0,2020-03-30,0,Puducherry,1
1,2020-03-30,1,Punjab,38
3,2020-03-30,0,Rajasthan,57
4,2020-03-30,1,Tamil Nadu,50
1,2020-03-30,1,Telengana,69
2,2020-03-30,0,Uttarakhand,7
11,2020-03-30,0,Uttar Pradesh,75
0,2020-03-30,1,West Bengal,19
